Murray.Collection.Identifier,WTSI.sequence.tag,ENA.accession.number,Sample.name,Public.Name,GC.content,Total.sequencing.yield..kbp.,Assembly.total.length..bp.,Assembly.contiguous.sequences..number.,N50,WGS.genus,Salmonella.MLST,Escherichia.coli.MLST,Klebseilla.MLST,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number.detected,Plasmid.1,Plasmid.2,Plasmid.3,Plasmid.4,Plasmid.5,Date,Year,Source
M59,8939_4#74,ERS179747,NCTC_M59,NCTC20035,50.15,238330,4535403,278,32892,Escherichia/Shigella,,628,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,25/10/1918,1918,
M127,8939_4#84,ERS179757,NCTC_M127,NCTC20055,50.15,289183,4970668,67,232622,Escherichia/Shigella,,ND,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,14/01/1934,1934,Urine
M128,8939_4#92,ERS179765,NCTC_M128,NCTC20055,50.15,305359,4969933,67,226696,Escherichia/Shigella,,ND,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,14/01/1934,1934,Urine
M183,9471_7#85,ERS203196,NCTC_M183 6838838,NCTC20203,50.15,450528,4704021,391,30139,Escherichia/Shigella,,273,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,30/07/1919,1919,
M167,9803_5#42,ERS222781,NCTC_M167 7222945,NCTC20329,50.2,346106,4273570,382,22633,Escherichia/Shigella,,145,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,04/03/1943,1943,
M265,9803_5#15,ERS222754,NCTC_M265 7223001,NCTC20003,50.2,319047,5251165,184,93298,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1a__NC_010656,IncI1_1_Alpha_AP005147,IncI2_1_Delta_AP002527,IncX4_2__FN543504,,01/02/1934,1934,
M616,9776_2#92,ERS203108,NCTC_M616 6836954,NCTC20287,50.2,519448,5114577,80,369379,Escherichia/Shigella,,73,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,,ND,Urine
M148,9803_5#28,ERS222767,NCTC_M148 7222967,NCTC20327,50.2,255350,4440144,263,40758,Escherichia/Shigella,,628,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,10/06/1918,1918,
M678,9471_7#51,ERS203162,NCTC_M678 6838810,NCTC20311,50.25,435296,5325289,156,103466,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFIB_AP001918__1__AP001918,,,,,,ND,
M677,9471_7#52,ERS203163,NCTC_M677 6838822,NCTC20310,50.25,432391,5326149,175,108172,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFIB_AP001918__1__AP001918,,,,,,ND,
M613,9776_2#95,ERS203111,NCTC_M613 6836990,NCTC20284,50.25,414214,5348556,170,113910,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFIB_AP001918__1__AP001918,,,,,,ND,Urine
M679,9471_7#50,ERS203161,NCTC_M679 6838798,NCTC20312,50.25,455034,5375983,292,60481,Escherichia/Shigella,,405,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFII_29__1_pUTI89_CP003035,,,,,15/01/1934,1934,"Stool, colitis in a child"
M680,9471_7#49,ERS203160,NCTC_M680 6838786,NCTC20313,50.25,567303,5376393,247,64406,Escherichia/Shigella,,405,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,,15/01/1934,1934,"Stool, colitis in a child"
M178,9471_7#84,ERS203195,NCTC_M178 6838826,NCTC20201,50.25,415642,5131153,213,67749,Escherichia/Shigella,,2348,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,,16/04/1925,1925,
M266,9803_5#22,ERS222761,NCTC_M266 7222990,NCTC20004,50.25,316950,5144782,178,99276,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1a__NC_010656,IncI1_1_Alpha_AP005147,IncI2_1_Delta_AP002527,IncX4_2__FN543504,,01/02/1934,1934,
M110,9803_5#83,ERS222822,NCTC_M110 7222962,NCTC20322,50.3,273534,4347255,302,32872,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,25/10/1918,1918,
M177,8939_4#78,ERS179751,NCTC_M177,NCTC20073,50.3,291199,5288621,178,85921,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1a__NC_010656,Col156_1__NC_009781,ColpVC_1__JX133088,IncFII_29__1_pUTI89_CP003035,,05/05/1941,1941,
M314,9803_5#66,ERS222805,NCTC_M314 7222948,NCTC20359,50.3,318276,5245759,157,88161,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,04/09/1935,1935,
M323,9803_5#4,ERS222743,NCTC_M323 7222964,NCTC20362,50.3,305250,5142628,138,104384,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col_BS512__1a__NC_010656,IncFII_29__1_pUTI89_CP003035,,,,29/06/1939,1939,
M391,9803_5#19,ERS222758,NCTC_M391 7222954,NCTC20369,50.3,317162,4362173,305,33329,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,25/02/1935,1935,
M649,9803_5#64,ERS222803,NCTC_M649 7223019,NCTC20013,50.3,276613,4978554,76,298721,Escherichia/Shigella,,95,,Absent,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,09/01/1932,1932,Blood
M233,9803_5#67,ERS222806,NCTC_M233 7222960,NCTC20345,50.3,277217,4245734,318,28709,Escherichia/Shigella,,ND,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,22/02/1933,1933,
M631,9776_2#87,ERS203103,NCTC_M631 6836989,NCTC20292,50.35,414271,4622161,64,177502,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,,,ND,
M620,9776_2#88,ERS203104,NCTC_M620 6837001,NCTC20291,50.35,449963,4930351,156,79307,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,1,IncY_1__K02380,,,,,05/12/1933,1933,
M619,9776_2#89,ERS203105,NCTC_M619 6836918,NCTC20290,50.35,529391,4959994,148,82158,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,1,IncY_1__K02380,,,,,05/12/1933,1933,
M338,9803_5#62,ERS222801,NCTC_M338 7222995,NCTC20363,50.35,304979,4258538,297,33246,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,,,,25/09/1934,1934,
M409,9803_5#76,ERS222815,NCTC_M409 7222973,NCTC20371,50.35,271412,4657942,361,28880,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,02/04/1937,1937,
M315,9803_5#73,ERS222812,NCTC_M315 7222937,NCTC20360,50.35,272430,5301258,170,97095,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,IncFII_29__1_pUTI89_CP003035,,,04/09/1935,1935,
M41,8939_4#2,ERS179675,NCTC_M41,NCTC20026,50.35,324909,5226509,172,104576,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,5,Col_BS512__1a__NC_010656,Col_MP18__1__NC_013652,Col156_1__NC_009781,IncB_O_K_Z_2_GU256641,IncFII_29__1_pUTI89_CP003035,21/03/1934,1934,
M401,9776_2#44,ERS203060,NCTC_M401 6836948,NCTC20125,50.35,467302,5311858,177,88926,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,16/07/1932,1932,Urine
M429,9776_2#50,ERS203066,NCTC_M429 6836925,NCTC20132,50.35,515604,5178170,177,89782,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,01/08/1932,1932,Blood culture
M292,9776_2#9,ERS203025,NCTC_M292 6836908,NCTC20099,50.35,547629,5270474,162,108078,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1a__NC_010656,ColpVC_1__JX133088,IncFII_29__1_pUTI89_CP003035,,,04/01/1932,1932,
M297,9776_2#11,ERS203027,NCTC_M297 6836932,NCTC20101,50.35,532451,4972051,205,78800,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,Col_BS512__1a__NC_010656,,,,,06/06/1937,1937,Urine (M.F. L.) 
M114,9471_7#79,ERS203190,NCTC_M114 6838861,NCTC20184,50.35,347188,4264737,312,29579,Escherichia/Shigella,,ND,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,13/08/1921,1921,
M618,9776_2#90,ERS203106,NCTC_M618 6836930,NCTC20289,50.35,549378,4908610,68,258126,Escherichia/Shigella,,95,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,09/01/1932,1932,Blood
M190,9803_5#2,ERS222741,NCTC_M190 7222940,NCTC20335,50.35,370377,4258711,281,35117,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,07/12/1917,1917,
M364,9803_5#39,ERS222778,NCTC_M364 7223004,NCTC20366,50.35,302301,4416619,316,30259,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,13/09/1935,1935,
M173,9803_5#49,ERS222788,NCTC_M173 7222934,NCTC20330,50.4,318084,4251296,369,22169,Escherichia/Shigella,,145,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,04/03/1943,1943,
M143,8939_4#77,ERS179750,NCTC_M143,NCTC20063,50.4,296707,4870806,168,82810,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,,26/09/1935,1935,Stool
M423,9803_5#47,ERS222786,NCTC_M423 7223005,NCTC20374,50.4,312584,4263171,309,30107,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,,,,12/11/1935,1935,
M129,9803_5#14,ERS222753,NCTC_M129 7222989,NCTC20325,50.4,315682,4414019,299,33746,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,11/12/1919,1919,
M629,9517_1#4,ERS203210,NCTC_M629 6670694,NCTC20236,50.45,863761,5249684,179,86765,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncFII_29__1_pUTI89_CP003035,,,,ND,
M95,9471_7#74,ERS203185,NCTC_M95 6838801,NCTC20179,50.45,435345,4358303,302,31400,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,11/12/1919,1919,"From Prof. F. W. Andrewes, obtained from TJ¯TTA; Norway I W ""Anderson"":TJOTTA's Grp II"
M300,9776_2#12,ERS203028,NCTC_M300 6836944,NCTC20102,50.45,491421,5069032,149,104199,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,11/02/1936,1936,Stool from typhoid case
M34,9803_5#18,ERS222757,NCTC_M34 7222942,NCTC20319,50.45,343365,4417622,288,30931,Escherichia/Shigella,,631,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,13/09/1918,1918,
M633,9471_7#68,ERS203179,NCTC_M633 6838824,NCTC20294,50.5,468134,5051122,118,103861,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFII_1__AY458016,,,,,05/02/1934,1934,"Lemoine, Urine"
M648B,9471_7#59,ERS203170,NCTC_M648B 6838811,NCTC20303,50.5,448815,4881189,265,42913,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncY_1__K02380,,,,,05/02/1934,1934,
M647,9471_7#61,ERS203172,NCTC_M647 6838835,NCTC20301,50.5,418033,4792149,224,46990,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncY_1__K02380,,,,,30/11/1933,1933,"CSF, Lemoine"
